Customer_ID,Customer_Name,Gender,Churn,Returns
44605,John Rivera,Female,0,1.0
20152,Ethan Turner,Female,0,1.0
27494,Michael Brennan,Female,0,1.0
24855,Amanda Stone,Male,0,1.0
1844,Jenna Roberts,Male,0,0.0
22105,Philip Parker,Female,0,1.0
22175,Joseph Turner,Male,0,0.0
48309,Eric Reed,Male,0,0.0
26730,Kenneth Perry,Male,0,0.0
18461,Steven Smith,Male,0,1.0
32325,Megan Silva,Female,0,1.0
48054,Diana Martinez,Female,0,0.0
11401,Brian Mullins,Female,0,1.0
25891,Alyssa Martinez,Female,0,0.0
18684,Jeffrey Black,Male,0,1.0
32667,Robert Stewart,Female,0,1.0
11616,Brenda Parker,Male,1,0.0
9899,Rebecca Lewis,Male,0,0.0
29683,Clinton Snyder,Female,0,0.0
8996,Judy Friedman,Male,0,0.0
18129,Jesse Roberts,Male,0,0.0
32259,Madison Torres,Female,0,0.0
25096,Amy Townsend,Male,1,1.0
23596,Adrian Doyle,Female,0,0.0
10939,Harold Alexander,Male,0,1.0
36205,Krista Petersen,Male,1,0.0
22883,Lindsay Escobar,Male,0,1.0
35078,David Vaughn,Female,1,1.0
2639,Victoria Jordan,Male,0,0.0
15474,Steven Swanson,Male,0,1.0
45554,Brian Butler,Male,0,0.0
10363,Emily Garcia,Male,0,0.0
42256,Todd Shepherd,Male,0,0.0
24205,Margaret Wiley,Male,0,0.0
47536,Devin Wallace,Female,1,1.0
46538,Nichole Esparza,Female,0,0.0
24560,John Johnson,Male,1,0.0
15453,David Cooper,Male,0,0.0
17771,Mary Moody,Female,1,0.0
33118,Lauren Larson,Male,0,0.0
13579,Jake Stone,Male,0,0.0
41058,Theresa Kennedy,Female,0,1.0
22013,Mark Pierce,Male,0,0.0
26430,Lisa Rodriguez,Male,0,0.0
9287,Mary Griffin,Female,0,1.0
5178,Andrew Chavez,Male,0,1.0
29822,Ryan Gamble,Female,0,0.0
35518,David Stevens,Male,0,1.0
26465,Marilyn Campbell,Female,0,1.0
24500,Morgan Patterson,Male,0,1.0
27981,Phyllis Harris,Female,0,0.0
29921,Cynthia Davis,Male,0,1.0
7067,Joshua Young,Male,0,0.0
8318,Kimberly Smith,Female,0,0.0
31547,Cindy King,Female,1,0.0
47053,Michelle Wheeler,Male,0,0.0
40769,Angel Castaneda,Male,0,0.0
14792,Thomas Cox,Female,0,1.0
6132,Derrick Moses,Male,0,1.0
42378,Frank Taylor,Female,0,1.0
579,Angela Ramirez,Female,0,1.0
25464,Peter Golden,Male,0,1.0
30613,Scott Rodriguez,Female,1,0.0
45608,Sarah Barton,Female,0,0.0
19459,Leslie Howell,Female,0,1.0
33030,Charles Ryan,Male,0,1.0
11403,Charlene Silva,Female,0,1.0
9810,George Kennedy,Female,0,0.0
48356,Joel Smith,Female,0,0.0
38902,Jessica Walter,Female,0,1.0
40372,Lindsay Molina,Male,0,0.0
49660,Robert Hudson,Male,0,0.0
1826,Terry Washington DVM,Female,0,0.0
7731,Jose Lopez,Male,0,0.0
39034,Jay Montgomery,Male,0,1.0
25840,Laura Williams,Male,0,0.0
4462,Michael Alvarez,Male,0,0.0
11964,Lauren Yates,Male,1,0.0
40639,Daniel Acosta,Female,0,1.0
32371,Gabrielle Glover,Female,0,1.0
22312,Katie Savage,Female,0,1.0
19557,Mackenzie Wilson,Female,1,1.0
11114,Jonathan Craig,Female,0,0.0
6151,Michael Baker,Male,0,1.0
10414,Barry Johnson,Male,0,1.0
48475,Ronald Price,Female,1,1.0
22022,Jennifer Smith,Female,1,1.0
46895,Jose Schmidt,Female,1,0.0
34325,Nicole Ramos,Male,0,1.0
24641,Randy Bishop,Female,0,1.0
29631,Jessica Moore,Female,1,1.0
16409,Christopher Young,Female,0,1.0
22308,Aaron Johnson,Female,1,0.0
40360,Janet Burnett,Male,1,1.0
33444,Amanda Long,Female,0,0.0
31843,Melissa Smith,Female,0,1.0
29,Karla Figueroa,Male,0,0.0
47105,William Welch,Male,1,1.0
36903,Jessica Travis,Female,0,0.0
38907,Brittney Barker,Female,1,1.0
49330,Cheryl Kent,Male,0,0.0
13465,Bradley Dougherty,Male,0,0.0
18220,Susan Jenkins,Male,0,0.0
27738,Melissa Gibson,Female,1,0.0
34483,Jasmine Hood,Male,0,0.0
546,Ann Jackson,Male,0,0.0
13915,Carol Ross,Female,0,1.0
13003,Barbara Welch,Male,0,0.0
2623,Jeffrey Moore,Male,0,1.0
81,Bailey White,Male,0,1.0
25968,Christopher Fletcher,Male,0,0.0
3400,Steven Mckay,Female,0,0.0
17305,Mary Fischer,Male,0,0.0
27248,Linda Rice,Female,1,1.0
49865,Melinda Wells,Female,0,0.0
13719,Kathryn Lozano,Male,0,1.0
34012,Elizabeth Schaefer,Male,0,0.0
29203,Kayla Hill,Male,1,1.0
23878,Sandra Mckay,Male,0,1.0
43773,Aaron Huang,Male,0,0.0
19815,David Edwards Jr.,Female,0,0.0
13684,Susan Hampton,Female,0,0.0
30914,Ryan Gardner,Female,0,0.0
46435,Tim Ortiz,Female,0,0.0
24121,Joshua Cox,Male,0,1.0
40616,Samantha Garcia,Male,0,0.0
26994,Kelsey Johnson,Male,1,0.0
9920,Micheal Baker,Male,0,0.0
39506,Shannon Hogan,Female,0,0.0
6850,Matthew Lawrence,Male,0,0.0
5139,Jason Bailey,Male,1,1.0
31166,Zachary Velasquez,Female,0,0.0
11474,Cynthia Anderson,Female,1,0.0
44830,Natalie Barry,Female,0,1.0
21296,Paul Miles,Female,0,0.0
3118,Beth Smith,Male,0,1.0
26589,Brianna Garcia,Male,1,0.0
37034,Catherine Huynh,Female,0,1.0
26514,Jamie Foster,Female,0,0.0
21450,Christopher Barber,Female,1,0.0
1364,Melissa Molina,Female,0,0.0
30319,Kathryn Liu,Female,1,0.0
9571,Krista Mcintyre,Male,0,0.0
33353,Matthew Carter,Female,1,0.0
21343,Anthony Ramos MD,Male,1,0.0
31242,Samuel Bradley,Male,0,0.0
10940,Erica Hudson,Female,1,1.0
35732,David Miller,Male,0,1.0
30326,David Hall,Male,0,0.0
13225,Victoria Patel,Male,1,0.0
44548,Renee Nelson,Male,1,0.0
6164,Carmen Fields,Male,0,0.0
46615,John Terry,Female,0,0.0
3038,Caleb Dominguez,Male,1,0.0
7379,Joshua Pineda,Male,1,0.0
40596,Jesse Castro,Male,0,1.0
38828,Juan Ward,Male,1,0.0
11995,Melanie Simpson,Female,0,1.0
33608,Lisa Singh,Male,1,0.0
28364,Matthew Tyler,Female,0,1.0
29047,Michael Mooney,Male,1,1.0
20529,Vicki Miller,Male,1,0.0
20500,John Conway,Female,0,0.0
18361,Sherri Stein,Female,0,0.0
25094,Frances Simmons,Male,0,0.0
20829,Sandra Chaney,Male,0,0.0
24325,Mr. Eric Lewis PhD,Female,0,0.0
16261,John Smith,Male,0,1.0
3924,Julie Mckinney,Male,0,1.0
46406,Robert Russell,Female,0,0.0
22677,Robin Farmer,Male,0,0.0
2761,Larry Hubbard,Male,0,1.0
19997,Gregory Cardenas,Female,0,0.0
1021,Morgan Hernandez,Male,0,0.0
42763,Laurie Hatfield,Female,0,1.0
45813,Stacey Young,Female,0,1.0
27444,Karen Marshall,Female,0,0.0
26054,Brandon Lynn,Male,0,1.0
8130,Earl Hardy,Male,1,1.0
15484,Nathan Buck,Female,0,0.0
5198,Judy Mayer,Female,0,0.0
35222,Colleen Richardson,Male,1,0.0
49394,Jennifer Blackwell,Male,0,0.0
40040,Jennifer Johnson,Female,0,0.0
45066,Ashley Miller,Male,0,0.0
14134,Stephen Cruz,Male,1,1.0
711,Dennis Miller,Male,0,1.0
27063,David Logan,Male,0,0.0
33790,Tina Walker,Female,0,0.0
36421,Jennifer Rogers,Female,0,0.0
41828,Jessica Robinson,Female,1,1.0
9678,Dylan Juarez,Female,0,1.0
15411,Phillip Patterson,Female,0,0.0
35932,Raymond Martinez,Female,1,1.0
31565,Kurt Davila,Female,0,1.0
